x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764288338.944449,0.010000228881835938,0.8,0.8,0,-0.04,-0.03,-0.04,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764288338.9544494,0.010000228881835938,0.8,0.8,0,-0.04,-0.03,-0.04,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764288338.9744503,0.010000228881835938,0.8,0.8,0,-0.04,-0.03,-0.03,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764288338.9944513,0.010000228881835938,0.8,0.8,0,-0.18,-0.16,-0.18,-0.0,-1.39,-0.0,0.0,0.0,0.04,0.02,0.0010908307824966101,0.10908307824966101,4.5710519689379225e-06,-0.00017250228265863754,0.00045710519689379225,-0.017250228265863754
1764288339.0044518,0.010000228881835938,0.8,0.8,0,-0.24,-0.22,-0.23,-0.63,-3.56,-0.77,0.0,0.0,0.08,0.05,0.0032724923474889422,0.2181661564992332,3.635239295896042e-05,-0.001292632541926686,0.00317813409900225,-0.11201302592680484
1764288339.024908,0.010000228881835938,0.8,0.8,0,-0.49,-0.33,-0.35,-0.63,-4.53,-1.26,0.0,0.0,0.1,0.07,0.009817477042467715,0.3272492347488942,0.0007007370536560309,-0.006453804033633048,0.05179240176254041,-0.3006199287142408
1764288339.0353253,0.010416269302368164,0.8,0.8,0,-0.61,-0.47,-0.48,5.16,-5.16,1.39,0.0,0.0,0.19,0.23,0.011999138607460935,0.21816615649932203,0.001301887764507459,-0.009281465069839179,0.0601150710851428,-0.28276610362061305
1764288339.0553262,0.010000228881835938,0.8,0.8,0,-0.61,-0.49,-0.49,5.65,-6.48,1.39,0.01,0.01,0.23,0.27,0.013089969389957545,0.0,0.003129650677042406,-0.0117207529734773,0.09878444062874081,-0.06555534328254176
1764288339.0653267,0.010000228881835938,0.8,0.8,0,-0.65,-0.55,-0.55,6.14,-7.39,2.93,0.01,0.01,0.3,0.28,0.011999138607460935,-0.10908307824966101,0.0042795686222270035,-0.011766385124555079,0.11499179451845976,-0.004563215107777907
1764288339.0895638,0.010000228881835938,0.8,0.8,0,-0.69,-0.61,-0.61,7.53,-8.65,3.07,0.01,0.01,0.34,0.34,0.010908307824964325,-0.10908307824966101,0.0069790490067580535,-0.009510483745603704,0.1478259923834102,0.13458873893306134
1764288339.0995643,0.010000228881835938,0.8,0.8,0,-0.67,-0.61,-0.61,8.23,-9.34,2.93,0.02,0.02,0.35,0.38,0.010908307824964325,0.0,0.008642002340351507,-0.008329857912428906,0.16629533335934532,0.11806258331747976
1764288339.109565,0.010000467300415039,0.8,0.8,0,-0.67,-0.61,-0.61,6.83,-8.09,2.79,0.02,0.02,0.35,0.38,0.009817477042467715,-0.10908307824966101,0.010520187991995833,-0.008790487500325739,0.18781856516443263,-0.04606295878968325
1764288339.1308358,0.010000228881835938,0.8,0.8,0,-0.73,-0.69,-0.68,7.46,-9.69,3.28,0.03,0.03,0.37,0.35,0.008726646259971105,0.0,0.016702183871401655,-0.017356051215251966,0.2274029257312904,-0.4094102666066135
1764288339.1408362,0.010000228881835938,0.8,0.8,0,-0.73,-0.69,-0.68,7.46,-9.69,3.28,0.03,0.03,0.37,0.35,0.008726646259971105,0.0,0.0190412211940183,-0.021112693961220952,0.2339037322616644,-0.37566427459689855
1764288339.1608372,0.010000228881835938,0.8,0.8,0,-0.73,-0.73,-0.72,8.02,-5.79,2.16,0.03,0.03,0.23,0.33,0.008726646259971105,0.0,0.024395569912253112,-0.02181192582535907,0.5354348718234814,-0.06992318641381168
1764288339.1808383,0.010000228881835938,0.8,0.8,0,-0.71,-0.71,-0.74,8.86,-10.67,3.7,0.04,0.04,0.41,0.41,0.006544984694978773,-0.10908307824966101,0.030416673852199594,-0.019253827253153055,0.30581711906720876,0.12323449314317614
1764288339.1908808,0.010036945343017578,0.8,0.8,0,-0.68,-0.7,-0.71,8.09,-12.2,3.83,0.04,0.04,0.46,0.41,0.006544984694978773,0.0,0.03365771137039042,-0.018809712205547946,0.3241037518190826,0.04441150476051092
1764288339.2108817,0.010000228881835938,0.8,0.8,0,-0.66,-0.68,-0.68,7.88,-11.71,3.77,0.05,0.05,0.45,0.4,0.006544984694978773,0.0,0.04076390087156989,-0.02105913736806908,0.7106189501179472,-0.22494251625211348
1764288339.2208822,0.010000228881835938,0.8,0.8,0,-0.61,-0.62,-0.61,8.58,-9.76,3.28,0.05,0.05,0.38,0.39,0.006544984694978773,0.0,0.044442563116815936,-0.022633468496843445,0.3678662245246045,-0.15743311287743644
1764288339.2421243,0.010263204574584961,0.8,0.8,0,-0.58,-0.58,-0.57,8.72,-10.74,3.35,0.06,0.06,0.41,0.41,0.006544984694978773,0.0,0.05187596299105035,-0.02409588593635048,0.3672976570471942,-0.03941939119203042
1764288339.2521253,0.010000467300415039,0.8,0.8,0,-0.52,-0.51,-0.52,8.65,-13.04,3.63,0.06,0.06,0.48,0.45,0.007635815477475383,0.10908307824966101,0.055637026670890766,-0.024245182067136994,0.3761063679840415,-0.014929613078651371
1764288339.2728887,0.010053634643554688,0.8,0.8,0,-0.47,-0.47,-0.48,7.53,-11.99,3.0,0.07,0.07,0.43,0.4,0.008726646259971105,0.1090830782495722,0.06296755039709057,-0.026392082026447383,0.3745275859449837,-0.17270727742899616
1764288339.2828891,0.010000228881835938,0.8,0.8,0,-0.46,-0.43,-0.44,8.37,-12.34,2.79,0.07,0.07,0.44,0.44,0.009817477042467715,0.10908307824966101,0.06671159555345074,-0.02770280144311199,0.3744045156360176,-0.13107194166646075
1764288339.30289,0.010000228881835938,0.8,0.8,0,-0.42,-0.4,-0.4,8.16,-11.57,3.14,0.08,0.07,0.42,0.41,0.009817477042467715,0.0,0.07428228027190054,-0.02967507835321559,0.3827661650344094,-0.09930839497531707
1764288339.3128905,0.010000228881835938,0.8,0.8,0,-0.4,-0.38,-0.38,8.09,-10.67,4.11,0.08,0.08,0.43,0.38,0.009817477042467715,0.0,0.07802676607731307,-0.03025712404894243,0.3744485805412534,-0.05820456957268405
1764288339.3328915,0.010000228881835938,0.8,0.8,0,-0.38,-0.4,-0.36,7.46,-9.83,4.39,0.09,0.08,0.41,0.34,0.008726646259971105,-0.10908307824966101,0.08587466140961109,-0.0306074559835805,0.40083990801966785,-0.027060318130223138
1764288339.342892,0.010000228881835938,0.8,0.8,0,-0.36,-0.38,-0.34,7.67,-10.67,3.63,0.09,0.09,0.41,0.37,0.008726646259971105,0.0,0.09006064409170467,-0.030641460865926007,0.4185982682093581,-0.003400488234550636
1764288339.3628929,0.010000228881835938,0.8,0.8,0,-0.36,-0.35,-0.33,8.65,-9.76,3.63,0.09,0.09,0.39,0.39,0.0054541539124821625,-0.21816615649932203,0.09863038967298143,-0.029894076933972613,0.4293654068356467,0.07101915529439395
1764288339.3729742,0.010080337524414062,0.8,0.8,0,-0.36,-0.35,-0.33,8.44,-8.65,2.79,0.09,0.09,0.39,0.39,0.004363323129985552,-0.10908307824966101,0.10285822217744389,-0.028776732705399155,0.4227832504462459,0.1117344228573458
1764288339.392975,0.010000228881835938,0.8,0.8,0,-0.33,-0.32,-0.31,8.51,-9.41,2.65,0.1,0.1,0.35,0.4,0.0010908307824966101,-0.1090830782495722,0.11175808029929613,-0.02652033680971977,0.450502438927014,0.1246385700035102
1764288339.412976,0.010000228881835938,0.8,0.8,0,-0.3,-0.3,-0.28,7.67,-9.9,2.23,0.11,0.1,0.35,0.39,-0.0010908307824966101,0.0,0.12112193628337842,-0.02409931562408385,0.46884992772167067,0.12014450939581423
1764288339.4229765,0.010000228881835938,0.8,0.8,0,-0.29,-0.29,-0.26,7.18,-8.99,2.16,0.11,0.11,0.32,0.36,-0.002181661564992776,-0.1090830782496166,0.12596191435163906,-0.023613576135844028,0.4839978068260642,0.04857394882398225
1764288339.443326,0.010346174240112305,0.8,0.8,0,-0.28,-0.28,-0.27,6.62,-8.3,1.95,0.11,0.11,0.3,0.33,-0.0010908307824966101,0.1090830782496166,0.13603571318259666,-0.023574435012337247,0.5075126953695719,-0.00837895413079437
1764288339.4533267,0.010000228881835938,0.8,0.8,0,-0.28,-0.28,-0.26,6.69,-9.55,2.02,0.12,0.12,0.34,0.35,-0.0010908307824966101,0.0,0.14116093964825938,-0.024533263776320702,0.5125226465662713,-0.09588287639834547
1764288339.4733276,0.010000228881835938,0.8,0.8,0,-0.28,-0.27,-0.25,6.07,-9.55,2.02,0.12,0.12,0.33,0.33,0.0010908307824966101,0.10908307824966101,0.15183110375901032,-0.02852016314706063,0.5492880476491102,-0.22246203934224162
1764288339.4833283,0.010000467300415039,0.8,0.8,0,-0.28,-0.27,-0.27,5.65,-8.37,1.81,0.12,0.12,0.29,0.3,0.0010908307824966101,0.0,0.15740019706151198,-0.030690877059235788,0.556909330250166,-0.21707139121751595
1764288339.5033293,0.010000228881835938,0.8,0.8,0,-0.29,-0.28,-0.28,5.72,-7.6,1.81,0.13,0.13,0.27,0.29,0.0010908307824966101,0.0,0.1690652019537584,-0.033425281026774556,0.5889628399495805,-0.11295726720419452
1764288339.5133297,0.010000228881835938,0.8,0.8,0,-0.3,-0.29,-0.31,7.32,-7.67,2.02,0.13,0.13,0.27,0.29,0.0,-0.10908307824966101,0.17513687670680067,-0.034338774552746365,0.6071674753042267,-0.09134935259718091
