x_goal,y_goal,count,torque_M1,torque_M2,torque_M3,vel_M1,vel_M2,vel_M3,pos_x,pos_y,vel_x,vel_y,phi,phi_dot,alpha,beta,theta,alpha_dot,beta_dot
1764287232.8540092,0.010000228881835938,1.0,0.0,0,-0.03,-0.03,-0.03,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287232.8640096,0.010000228881835938,1.0,0.0,0,-0.02,-0.03,-0.04,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287232.8840108,0.010000228881835938,1.0,0.0,0,-0.02,-0.03,-0.04,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287232.8940115,0.010000228881835938,1.0,0.0,0,-0.03,-0.03,-0.04,-0.0,-0.98,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764287232.9140134,0.010000228881835938,1.0,0.0,0,-0.02,-0.02,-0.04,-0.0,-2.86,1.95,0.0,0.0,0.14,0.02,0.0010908307824966101,0.10908307824966101,-0.00016587822144797926,-0.0006933306646512705,-0.016587822144797926,-0.06933306646512705
1764287232.9340231,0.010000228881835938,1.0,0.0,0,-0.03,-0.03,-0.04,-0.07,-3.56,3.56,0.0,0.0,0.21,-0.0,0.0054541539124821625,0.21816615649927762,-0.0008366754042432589,-0.0029499243294335287,-0.03349601782764999,-0.12150535274675356
1764287232.9440236,0.010000228881835938,1.0,0.0,0,-0.04,-0.02,-0.04,-0.0,-4.46,4.74,0.01,0.0,0.27,-0.01,0.0054541539124821625,0.0,-0.0011749601021793232,-0.003993357964296784,-0.03382846979360643,-0.10434336348632556
1764287232.9640245,0.010000228881835938,1.0,0.0,0,-0.05,-0.02,-0.04,-0.07,-5.23,5.72,0.01,0.0,0.32,-0.01,0.011999138607460935,0.43633231299855524,-0.00219797520487397,-0.0062620095073615545,-0.051366252523354916,-0.10491380664916505
1764287232.974025,0.010000228881835938,1.0,0.0,0,-0.04,-0.01,-0.04,-0.0,-6.21,6.76,0.01,-0.0,0.37,-0.01,0.011999138607460935,0.0,-0.0028883347116051006,-0.0071436754636065025,-0.06903595067311308,-0.0881665956244948
1764287232.9972,0.010797500610351562,1.0,0.0,0,-0.03,-0.02,-0.05,-0.0,-6.28,6.9,0.02,-0.0,0.38,-0.01,0.01636246173744693,0.10908307824966101,-0.004012880167016064,-0.008998358336190115,-0.051879637054064176,-0.09719744441811784
1764287233.0072005,0.010000228881835938,1.0,0.0,0,-0.03,-0.02,-0.05,1.46,-6.69,6.97,0.02,0.0,0.39,0.04,0.01636246173744693,0.0,-0.004627151848708877,-0.009543815224739571,-0.06142716816928129,-0.054545688854945595
1764287233.027202,0.010000228881835938,1.0,0.0,0,0.04,0.04,0.02,1.6,-7.04,6.83,0.03,0.0,0.4,0.06,0.01636246173744693,0.0,-0.005620901377612064,-0.009606490258377676,-0.045861782374112536,0.014044662873535785
1764287233.0372024,0.010000228881835938,1.0,0.0,0,0.08,0.08,0.07,1.05,-8.09,7.81,0.03,0.0,0.46,0.04,0.015271630954950322,-0.10908307824966101,-0.0060932597383809295,-0.009039299435690928,-0.04723583607688653,0.056719082268674725
1764287233.0576444,0.010000228881835938,1.0,0.0,0,0.12,0.12,0.11,-1.05,-8.58,8.86,0.04,0.0,0.5,-0.04,0.014180800172453711,0.0,-0.006815901250531553,-0.007045086945113965,-0.03206114725280429,0.09965121677444344
1764287233.0676448,0.010000228881835938,1.0,0.0,0,0.14,0.13,0.13,-0.91,-7.88,8.23,0.04,0.0,0.46,-0.03,0.014180800172453711,0.0,-0.0070303043425719025,-0.006910734336948998,-0.021440309204034946,0.013435260816496708
